회사명,카테고리,설명,링크
AVATOUR,SUPPLY CHAIN,"AVATOUR remote presence makes it possible to visit a facility or job site without travel. Combining full-motion 360° capture with real-time communication, AVATOUR enables remote inspections, marketing tours, training, and more - saving time and money while keeping personnel safe.",https://www.plugandplaytechcenter.com/startup/avatour-co
Avenda Health,HEALTH,Revolutionizing prostate cancer treatment.,https://www.plugandplaytechcenter.com/startup/avendahealth-com
Averroes,SMART CITIES,Averroes.ai is an AI-first visual inspection platform that leverages the power of artificial intelligence to revolutionize defect detection in the semiconductor and renewable energy industries.,https://www.plugandplaytechcenter.com/startup/averroes-ai
Avicena,DEEPTECH,High Bandwidth Semiconductor Interconnects,https://www.plugandplaytechcenter.com/startup/avicena-tech
Avioxx,SUSTAINABILITY,"Transforming waste hydrocarbons, destined for incineration or landfill, into high grade sustainable aviation fuel.",https://www.plugandplaytechcenter.com/startup/avioxx-co-uk
AwakeAI Inc.,HEALTH,The Next Generation of Computer Vision Platform,https://www.plugandplaytechcenter.com/startup/awakeai-ca
Awecom,DEEPTECH,Awecom is an AI-powered streaming optimizer.,https://www.plugandplaytechcenter.com/startup/awecom-com
AX Semantics,MOBILITY,"AX Semantics is a content creation software based on data for e-commerce, Business Intelligence and publishing customers.",https://www.plugandplaytechcenter.com/startup/ax-semantics-com
Axiom Therapeutics,HEALTH,AI-powered covalent drug discovery for untreatable cancers,https://www.plugandplaytechcenter.com/startup/axiom-therapeutics-com
Axle,ENERGY,"Axle is an AI-powered freight factor. We provide small freight brokers with affordable, short-term working capital by purchasing their accounts receivable at a discount.",https://www.plugandplaytechcenter.com/startup/axlepayments-com
Axon4D Technologies,NEW MATERIALS & PACKAGING,Axon4D Technologies is a technology company that specializes in fiberoptic sensor technology to enterprises worldwide.,https://www.plugandplaytechcenter.com/startup/axon4d-com
AZA Group,FINTECH,A currency trading solution startup.,https://www.plugandplaytechcenter.com/startup/azafinance-com
b.well,HEALTH,b.well unlocks new predictive insights and drives lifelong engagement for health plans and employers large and small.,https://www.plugandplaytechcenter.com/startup/icanbwell-com
B8ta,ENERGY,B8ta is a software-powered retailer designed to make physical retail accessible for all.,https://www.plugandplaytechcenter.com/startup/b8ta-com
Babaco Market,FOOD & BEVERAGE,"Babaco Market is an ecommerce business from Italy selling grocery ""ugly products"" on demand.",https://www.plugandplaytechcenter.com/startup/babacomarket-com
Babylon Micro-Farms Inc.,FOOD & BEVERAGE,We are making sustainable food production accessible by empowering a network of decentralized urban farms.,https://www.plugandplaytechcenter.com/startup/babylonmicrofarms-com
Back4App,DEEPTECH,Back4App is an open source backend that helps developers build scalable and extensible applications at a much more rapid pace.,https://www.plugandplaytechcenter.com/startup/back4app-com
BackOps AI,BRAND & RETAIL,BackOps AI: Boosting Your Productivity Without Changing Your Tech Stack Our AI assistant automates your everyday tasks and suggests improvements - all without needing any tech know-how from you!,https://www.plugandplaytechcenter.com/startup/backops-ai
Badge,BRAND & RETAIL,Badge enables companies to build hyper-engaging experiences in Apple & Google Wallets,https://www.plugandplaytechcenter.com/startup/trybadge-com
Balcony Labs,ENERGY,Balcony is a mobile messaging solution for communicating and coordinating with a distributed field force in real time.,https://www.plugandplaytechcenter.com/startup/balcony-io
Baltu Technologies,SUPPLY CHAIN,"Baltu Technologies empowers the workforce with SuperDoc, a Just-in Time training platform that upskills workers and reduces machinery downtime.",https://www.plugandplaytechcenter.com/startup/baltutech-com
BANF,SUPPLY CHAIN,"BANF´s sensor provides real-time tire and road analysis, preventing accidents, reducing operating costs, optimizing fuel efficiency, and enhancing safety.",https://www.plugandplaytechcenter.com/startup/banf-co-kr
Bankly,FINTECH,Bankly is the bank to the unbanked. We meet the needs of the financially excluded by providing the personal & technological touchpoints they require to digitize their cash and grow their income in a safe and simple way.,https://www.plugandplaytechcenter.com/startup/bankly-ng
Bankuish,FINTECH,Bankuish provides gig workers and freelancers in Latin America a simple way to access affordable banking.,https://www.plugandplaytechcenter.com/startup/bankuish-com
BankWyse,FINTECH,Wyoming chartered bank providing commercial banking integrated with Qualified Custody of digital assets.,https://www.plugandplaytechcenter.com/startup/bankwyse-com
Barley & Britches,BRAND & RETAIL,Barley & Britches is a progressive clothing company developed in the New York City's fashion district.,https://www.plugandplaytechcenter.com/startup/barleyandbritches-com
Barley & Britches (dba Dropel Fabrics),BRAND & RETAIL,Barley & Britches is a progressive clothing company developed in the New York City's fashion district.,https://www.plugandplaytechcenter.com/startup/dropelfabrics-com
Basetwo AI,HEALTH,Next-generation AI platform for highly regulated & complex engineering environments,https://www.plugandplaytechcenter.com/startup/basetwo-ai
Bastion Health,HEALTH,Bastion is a digital health platform pioneering technology to impact and enhance male reproductive and prostate health,https://www.plugandplaytechcenter.com/startup/getbastion-com
Bayes (dba Kintsugi),BRAND & RETAIL,Kintsugi is automating sales tax for every company globally.,https://www.plugandplaytechcenter.com/startup/bayeshq-com
Bcomp,MOBILITY,Switzerland-based provider of natural fibre-based sustainable lightweighting solutions,https://www.plugandplaytechcenter.com/startup/bcomp-ch
"Beanstalk Benefits, Inc.",INSURTECH,"provides individual employees with access and control to build their own portfolios of ""everyday"" benefits",https://www.plugandplaytechcenter.com/startup/beanstalkbenefits-com
Bedouin,INSURTECH,Embedded Insurance For Cancellation and Loss Events.,https://www.plugandplaytechcenter.com/startup/withbedouin-com
Bedrock Energy,ENERGY,Decarbonizing buildings everywhere,https://www.plugandplaytechcenter.com/startup/bedrockenergy-com
BeeHero,FOOD & BEVERAGE,BeeHero is maximizing crop yields through pollination while managing the largest database of Bees & Pollination world-wide,https://www.plugandplaytechcenter.com/startup/beehero-io
Beekeeping innovations,FOOD & BEVERAGE,Beekeeping Innovations is developing new technologies and partnerships to promote more sustainable beekeeping.,https://www.plugandplaytechcenter.com/startup/beekeepinginnovations-com
BehavioSec,ENERGY,BehavioSec is the first and only vendor to deliver enterprise-grade Behavioral Biometrics as a Service (BBaaS) to combat online fraud.,https://www.plugandplaytechcenter.com/startup/behaviosec-com
Bella & Bona,카테고리 없음,Bella & Bona provides an ideal premium quality food delivery service for people to turn lunch breaks into a moment of well-being.,https://www.plugandplaytechcenter.com/startup/bellabona-com
Bellboi,BRAND & RETAIL,The next generation of in-store experience.,https://www.plugandplaytechcenter.com/startup/bellboi-com
Belun Technology,MEDTECH,Belun Technology makes a wearable device for monitoring users' health while sleeping.,https://www.plugandplaytechcenter.com/startup/beluntech-com
Benga,FINTECH,Benga helps companies quickly assess the creditworthiness of their customers and monitor it over time.,https://www.plugandplaytechcenter.com/startup/getbenga-com
Best Friend Finance,INSURTECH,"Best Friend Finance (BFF) is a financial services company dedicated to creating a more genuine and empathetic approach to finance, focusing on universal access to essential financial functions.",https://www.plugandplaytechcenter.com/startup/bestfriend-finance
Betadynamiq,AEROSPACE & DEFENSE,"Betadynamiq aims to revolutionize Earth Observation by integrating advanced hardware with AI-powered software for real-time, on-board data analysis.",https://www.plugandplaytechcenter.com/startup/betadynamiq-com
betterdata,ENTERPRISE & AI,"Betterdata uses AI to transform your production data into privacy-preserving and highly realistic synthetic data. Share, access and build with data safely across teams, businesses, and international borders.",https://www.plugandplaytechcenter.com/startup/betterdata-ai
Betterguards Technology,SPORTSTECH,Betterguards is a next-generation sports technology company changing the game through ankle injury prevention and performance innovation.,https://www.plugandplaytechcenter.com/startup/betterguards-com
Betterview,ENERGY,Betterview is a Property Analytics Platform that accelerates decisions and drives action for insurers who want to improve the customer experience and their bottom line in an increasingly volatile environment.,https://www.plugandplaytechcenter.com/startup/betterview-com
Betterway,FINTECH,Payment solutions for mobility,https://www.plugandplaytechcenter.com/startup/betterway-fr
Betterworks,FINTECH,"Betterworks delivers performance management, goal-setting, and OKR software to align the enterprise.",https://www.plugandplaytechcenter.com/startup/betterworks-com
Bettery,MOBILITY,"Changing the paradigm with the green, long-lasting & fast recharge liquid batteries.",https://www.plugandplaytechcenter.com/startup/bettery-eu
BetterYou,카테고리 없음,BetterYou is a Healthy Habits Companion that helps people find time in the day for their health.,https://www.plugandplaytechcenter.com/startup/betteryou-ai
bext360,FOOD & BEVERAGE,Bext360 develops technologies that streamline critical supply chains in emerging economies.,https://www.plugandplaytechcenter.com/startup/bext360-com
Beyond Pricing,TRAVEL & HOSPITALITY,Automated data-driven pricing for your Airbnb and vacation rental is here.,https://www.plugandplaytechcenter.com/startup/beyondpricing-com
Beyond Silicon,ENERGY,developing a perovskite-on-silicon tandem cell that has the potential to surpass the efficiency limit of standard silicon solar cells.,https://www.plugandplaytechcenter.com/startup/beyondsilicon-com
Bigblue,BRAND & RETAIL,Bigblue is a next-generation logistics provider and customer-experience toolkit for e-commerce.,https://www.plugandplaytechcenter.com/startup/bigblue-co
BigID,ENERGY,"BigID is a leader in data security, privacy, compliance, and governance.",https://www.plugandplaytechcenter.com/startup/bigid-com
BILDIA,ENERGY,"Bildia is a B2B SaaS-enabled Marketplace that streamlines construction procurement for contractors, real estate developers, manufacturers, distributors and subcontractors.",https://www.plugandplaytechcenter.com/startup/bildia-com
Billy,FINTECH,Billy provides an end-to-end insurance platform to protect the company from risk.,https://www.plugandplaytechcenter.com/startup/billyforinsurance-com
Binkey,BRAND & RETAIL,"Binkey offers an API-enabled payment service that helps merchants accept pre-tax, health benefits, like FSA and HSA, as a form of payment at checkout and allows customers to save on out-of-pocket health expenses (Paypal for your health)",https://www.plugandplaytechcenter.com/startup/joinbinkey-com
